namespace,pod,container,timestamp,throughput-average
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733537940000,13.665510354252074
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538000000,40.24123392218605
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538060000,14.776442613901747
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538120000,28.343473350577437
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538180000,15.420063807160581
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538240000,31.49160089050799
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538300000,20.123453998688582
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538360000,36.11130450927151
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538420000,14.013610920951958
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538480000,39.54190644407727
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538540000,13.036881637851913
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538600000,37.412839624909836
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538660000,14.53027139874739
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538720000,33.760138334225374
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538780000,15.277899727807533
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538840000,29.602220166512488
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538900000,11.953591937185045
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733538960000,38.72496604340664
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539020000,13.191439597707868
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539080000,35.66925704330284
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539140000,14.041033710585243
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539200000,36.54271270302249
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539260000,16.12136494223178
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539320000,37.76223985890652
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539380000,23.951320559295702
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539440000,34.2719614921781
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539500000,16.472724968849654
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539560000,37.192848264652454
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539620000,14.946514922092513
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539680000,44.759502874150826
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539740000,25.169213310096055
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539800000,44.16254568909912
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539860000,25.501412916121026
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539920000,57.35147279081379
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539980000,20.29593043766991
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540040000,37.03912610224303
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540100000,13.292484854020156
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540160000,44.78555698493339
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540220000,24.378459105683916
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540280000,57.438478747203575
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540340000,26.557711950970372
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540400000,47.61796887388714
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540460000,29.620090148100456
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540520000,46.48694075237189
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540580000,22.294252510079847
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540640000,39.2248922275812
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540700000,24.837013669821243
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540760000,46.30889392794154
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540820000,21.006056961209673
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540880000,52.07838479809976
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540940000,25.59769167353669
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541000000,41.94718944701828
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541060000,22.438912469886425
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541120000,42.41066924923834
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541180000,22.386009888298844
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541240000,38.31481520085052
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541300000,24.40485102560264
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541360000,40.813893414934626
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541420000,24.844998545112695
